,ID,Name,Description,Address,Website,Phone,Activities,Categories,Individual ,Unnamed: 9,Unnamed: 10,Latitude,Longitude,Accessibility Score
0,421,Aero Joe Pilates,"â€œIn 10 sessions youâ€™ll feel the difference, in 20 youâ€™ll see a difference and in 30 youâ€™ll have a whole new body.â€ â€“ Joseph Hubertus Pilates

Through 60 years of research, the Pilates form was developed by Joseph and his wife Clara with the goal of creating transformational exercise. Pilates, now a world renowned work-out method, will a create long, lean physique.  Perhaps even more beneficial, Pilates provides corrective benefits â€” relieving postural imbalances, improving flexibility, easing chronic pain and more.

As revolutionary entrepreneurs, inventors and movement therapists, Joe and Clara  elevated exercise science to art.  Our goal at Aero Joe is promote the integrity, vision and excellence of Joseph Pilatesâ€™ work while also enhancing overall health and wellbeing.","2805 2nd Ave S, Birmingham, AL 35233, USA",https://www.aerojoepilates.com/,205-202-5758,"Chair Exercise,Pilates,Yoga",Adults,Both,Indoor,Land activity,33.51621135,-86.79174019,
1,325,Alabama Training Institute & Pistol Range,"An indoor range with high-speed 6-foot fan that draws fumes, powder, and smoke away from all shooters. ATI is well stocked with firearms as well as with full range of shooting supplies and accessories.","906 40th Street North, Birmingham, AL 35222, USA",www.alpiston.com,205-592-3004,Rifle Shooting,Adults,Individual ,Indoor,Land activity,33.5395256,-86.77829217,
2,429,Aldridge Gardens,"Since Aldridge Gardens opened in 2002, the 30-acre former property of well-known horticulturist Eddie Aldridge and his wife Kay has become a popular attraction in the greater Birmingham area. The young garden showcases hydrangeas, including the Snowflake Hydrangea, which was patented by Mr. Aldridge and is now the official flower of the City of Hoover.

Other features include an event venue and gallery in the couple's former home, an outdoor pavilion, a six-acre lake and a half-mile walking trail. The Gardens also host plant sales, art exhibits and shows, classes and seminars, bird walks, fishing days, concerts and more.

Field trips that follow the state curriculum are available for elementary-age children.

Admission to the Gardens is free.

For more information call 205.682.8019.","3530 Lorna Rd, Birmingham, AL 35216, USA",https://aldridgegardens.com/,205-682-8019,"Fishing,Gardening,Walking,Yoga",Both,Both,Outdoor,Land activity,33.38743988,-86.79212472,
3,430,Birmingham Academy of Martial Arts,"Leaders Forged. Discover what many people in your community already know! Birmingham Academy of Martial Arts is the school for high-quality martial arts and personal development instruction in our area! From athletics to academics, get the results you deserve here!

Have you or you child wanted to take karate or tae kwon do but were concerned about injuries in class? From our professional, experienced staff to our state-of-the-art facility, we stress safety in class.

Being right off Interstate 59 makes us the â€œeasy to get toâ€ karate school even if you don't live in Trussville. So if you are in Argo, Chalkville, Clay, Irondale, Leeds, Odenville, Pinson or Springville, we are only minutes away.  Our Moody students take the backway"" and skip the interstate.","3215 Endeavor Lane Suite 133, Vestavia Hills, AL 35242",https://www.bhammartialarts.com/,205-909-3720,"Karate,Personal Training",Both,Both,Indoor,Land activity,33.47281337,-86.70181973,
4,191,Birmingham Crossplex,"The mission of the Birmingham CrossPlex is to provide a facility for athletes to compete at the highest possible level of competition for Track & Field, Swimming & Diving, Volleyball and more. The CrossPlex strives to stimulate economic growth to the City of Birmingham through events and corporate partnerships.  This facility is not a location where you can become a member to use facilities, but must be an athlete that is part of an event hosted at the facility!  

The Facility Includes:

750,000sq.ft. of overall space
75,000sq.ft. of competition floor space for Track & Field, Volleyball, Gymnastics and more
Olympic Size Natatorium
5,000sq.ft. of meeting space
Over 1,500 parking spaces
Full service food and beverage capabilities
Hospitality Rooms and VIP Suites
Multi-Use concourse to supply the needs of multiple events
Retail Space in Concourse","2331 Bessemer Rd, Birmingham, AL 35208, USA",https://www.birminghamcrossplex.com/,205-279-8900,"Athletics/Track & Field,Swimming,Track & Field,Volleyball",Both,Both,Indoor,Both,33.49624751,-86.87310138,
5,340,Birmingham Tennis Academy ,"Birmingham Tennis Academy Center offers a unique variety of tennis programming. They offer private lessons, group drills, a junior program, as well as drills, lessons, and tournaments for the physically disabled.","3700 Ridgeway Dr, Birmingham, AL 35209, USA",https://www.birminghamtennisacademy.com/,,Tennis,Both,Both,Outdoor,Land activity,33.46899293,-86.78451027,
6,241,Birmingham Vulcan Rugby,"The Birmingham Vulcans, established in 1967, are a Rugby Union club competing in Division II of the USA Rugby True South Union. Located in Birmingham, Alabama, the team plays year-round competing in 15â€™s and 7â€™s competition. Under the umbrella of the Birmingham Rugby Club Foundation is Central Alabama Youth Rugby with programs for players ages 6 through 19.
practice hours
Tuesdays 6:30pm - 8:30pm
Thursdays 6:30pm - 8:30pm","3601 Country Club Road, Birmingham, AL 35213, USA",http://birminghamrugby.com/,205-933-6285,Rugby,Both,Individual ,Outdoor,Land activity,33.50196862,-86.76894884,
7,419,Birmingham yoga,"Birmingham Yoga Studio offers a variety of Yoga Classes for the beginning student to the advanced practitioner. Primarily centered in Ashtanga and Kundalini Yoga, we also teach vinyasa, restorative/therapeutic and pre-natal yoga. Please see our schedule and upcoming events for more details. Shanti !Shanti! Shanti!"",2017-04-06 01:02:16""","605 37th St S, Birmingham, AL 35222, USA",http://birminghamyoga.com/,205-637-4228,Yoga,Adults,Both,Indoor,Land activity,33.51834477,-86.77712903,
8,242,Briarwood Soccer Club,Church soccer league played at 8 Birmingham area soccer fields.,"2200 Briarwood Way, Birmingham, AL 35243, United States",https://www.questrecreation.org/briarwood-soccer-club.html,205-776-5237,Soccer,Children,Group,Outdoor,Land activity,33.41677786,-86.7598517,
9,244,Brook Highland Racquet Club,"Brook Highland Racquet Club (BHRC) is located in the established neighborhood of Brook Highland, between Highway 280 and Highway 119.  Our philosophy is to offer enjoyable tennis to every level player, and to promote tennis and fitness as a lifetime pleasure.  Home of the former Eddleman Pro Tennis Classic, Brook Highland Racquet Club offers 13 clay and 8 hard courts. The club also features an Olympic-size swimming pool with a competitive swim team and a Cybex fitness room.","3157 Brook Highland Dr, Birmingham, AL 35242, United States",https://bhrclub.com/,205-980-1000,"Swimming,Tennis,Weight Training,Weightlifting",Both,Both,Both,Both,33.43714247,-86.66805372,
